Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Library-HIVIND62Logic.json	1145	3	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	238	26	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND63Logic.json	1127	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	177	22	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND64Logic.json	1111	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	248	26	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND65Logic.json	1083	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	217	24	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND66Logic.json	1151	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	244	26	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND67Logic.json	1133	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	210	24	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND68Logic.json	1153	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	263	27	0	0	0	0	14	0	0
fsh-generated/resources/Library-HIVIND69Logic.json	1129	3	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	234	31	0	0	0	0	13	0	0
fsh-generated/resources/Library-HIVIND6Logic.json	1039	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	164	21	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND70Logic.json	1098	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	211	24	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND71Logic.json	1080	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	181	23	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND72Logic.json	1077	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	233	25	0	0	0	0	11	0	0
fsh-generated/resources/Library-HIVIND73Logic.json	1093	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	180	23	0	0	0	0	8	0	0
fsh-generated/resources/Library-HIVIND74Logic.json	1153	3	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	161	20	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND75Logic.json	1135	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	145	20	0	0	0	0	6	0	0
